HELLOFRESH_WEEK,Brand,BOX_ID,DU_ID,DELIVERY_REGION,DELIVERY_DATE,DC,Carrier,TRACKING_CODE,WEEKDAY,PACKING_DAY,CUSTOMER_ID,STATE,POSTCODE,TIME_IN_TRANSIT,MESSAGE,CARRIER_CREATE_TIME,local_datetime,Local Date,Responsible Party,OTP Groups,DELIVERED,Error?,COMPLAINT,DETAIL_1,是否看照片
2023-W12,US,US267624810,H2676248100,NJ_AXLE-JFKNY,3/21/2023,NJ,AXLE,SCD0970110406479765,Tuesday,Monday,46360192,NY,11207,1,SHIPMENT.PICKUP_FAILED,3/21/2023 1:34:30 下午,3/21/2023 9:34:30 上午,3/21/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267625364,H2676253640,NW_AXLE-LAXCA,3/21/2023,NW,AXLE,SCD0970110406485140,Tuesday,Monday,25089884,CA,91910,1,SHIPMENT.GEOCODE_FAILED,3/18/2023 3:09:39 下午,3/18/2023 8:09:39 上午,3/18/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267625777,H2676257770,NJ_AXLE-JFKNY,3/21/2023,NJ,AXLE,SCD0970110406479689,Tuesday,Monday,33223329,NY,11216,1,SHIPMENT.DROPOFF_SUCCEEDED,3/22/2023 2:25:32 下午,3/22/2023 10:25:32 上午,3/22/2023,FINAL MILE,Late +1,1,1,driver_didn_t_follow_delivery_instructions,box_not_received,是
2023-W12,US,US267639193,H2676391930,AZ_AXLE-LAXCA,3/21/2023,AZ,AXLE,SCD0970110406480661,Tuesday,Monday,48720594,CA,90405,1,SHIPMENT.DROPOFF_FAILED,3/21/2023 11:53:10 下午,3/21/2023 4:53:10 下午,3/21/2023,FINAL MILE,Undelivered,0,1,"late_delivery_after_delivery_window,late_delivery_after_delivery_window,late_delivery_after_delivery_window,late_delivery_after_delivery_window",,是
2023-W12,US,US267644713,H2676447130,AZ_AXLE-SALCA,3/21/2023,AZ,AXLE,SCD0008698900496264,Tuesday,Sunday,28042455,CA,95035,2,SHIPMENT.DROPOFF_FAILED,3/21/2023 10:28:13 下午,3/21/2023 3:28:13 下午,3/21/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267652097,H2676520970,AZ_AXLE-SMFCA,3/21/2023,AZ,AXLE,SCD0970110406479121,Tuesday,Sunday,46062767,CA,95661,2,SHIPMENT.PICKUP_READY,3/21/2023 5:24:19 下午,3/21/2023 10:24:19 上午,3/21/2023,FINAL MILE,Undelivered,0,1,no_progress_in_tracking,,是
2023-W12,US,US267657248,H2676572480,AZ_AXLE-LAXCA,3/21/2023,AZ,AXLE,SCD0970110406482665,Tuesday,Monday,40564947,CA,92806,1,SHIPMENT.PICKUP_READY,3/21/2023 9:10:01 下午,3/21/2023 2:10:01 下午,3/21/2023,FINAL MILE,Undelivered,0,0,late_delivery_1_day,late_proactive_compensation,是
2023-W12,US,US267657361,H2676573610,NW_AXLE-SALCA,3/21/2023,NW,AXLE,SCD0970110406484099,Tuesday,Monday,46498992,CA,94518,1,SHIPMENT.DROPOFF_SUCCEEDED,3/22/2023 5:21:43 下午,3/22/2023 10:21:43 上午,3/22/2023,FINAL MILE,Late +1,1,1,"marked_as_delivered,marked_as_delivered",,是
2023-W12,US,US267661326,H2676613260,NJ_AXLE-JFKNY,3/21/2023,NJ,AXLE,SCD0970110406481794,Tuesday,Monday,26018116,NY,11207,1,SHIPMENT.PICKUP_FAILED,3/21/2023 1:35:27 下午,3/21/2023 9:35:27 上午,3/21/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267665539,H2676655390,AZ_AXLE-SMFCA,3/21/2023,AZ,AXLE,SCD0970110406479146,Tuesday,Sunday,47655420,CA,95608,2,SHIPMENT.RETURN_SUCCEEDED,3/23/2023 9:29:27 下午,3/23/2023 2:29:27 下午,3/23/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267667509,H2676675090,NW_AXLE-SALCA,3/21/2023,NW,AXLE,SCD0970110406483386,Tuesday,Monday,3642619,CA,94122,1,SHIPMENT.PICKUP_READY,3/21/2023 8:40:16 下午,3/21/2023 1:40:16 下午,3/21/2023,FINAL MILE,Undelivered,0,1,"no_tracking,no_tracking",,是
2023-W12,US,US267669295,H2676692950,NJ_AXLE-JFKNY,3/21/2023,NJ,AXLE,SCD0970110406482632,Tuesday,Monday,44651260,NY,11021,1,SHIPMENT.PICKUP_FAILED,3/21/2023 12:34:45 下午,3/21/2023 8:34:45 上午,3/21/2023,FINAL MILE,Undelivered,0,1,"late_delivery_2_or_more_days,late_delivery_2_or_more_days",,是
2023-W12,US,US267789062,H2677890620,NJ_AXLE-EWRNJ,3/21/2023,NJ,AXLE,SCD0970110406486816,Tuesday,Monday,49026465,NJ,8640,1,SHIPMENT.DROPOFF_FAILED,3/21/2023 4:56:25 下午,3/21/2023 12:56:25 下午,3/21/2023,FINAL MILE,Undelivered,0,1,"late_delivery_2_or_more_days,late_delivery_2_or_more_days,late_delivery_2_or_more_days,late_delivery_2_or_more_days",,是
2023-W12,US,US267797920,H2677979200,NW_AXLE-SALCA,3/22/2023,NW,AXLE,SCD0970110406492342,Wednesday,Tuesday,29586648,CA,95112,1,SHIPMENT.RETURN_READY,3/23/2023 2:56:21 下午,3/23/2023 7:56:21 上午,3/23/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267806282,H2678062820,AZ_AXLE-LAXCA,3/22/2023,AZ,AXLE,SCD0970110406491463,Wednesday,Tuesday,29731538,CA,92127,1,SHIPMENT.DROPOFF_SUCCEEDED,3/23/2023 5:49:36 下午,3/23/2023 10:49:36 上午,3/23/2023,FINAL MILE,Late +1,1,1,exception,failure,是
2023-W12,US,US267806521,H2678065210,AZ_AXLE-LAXCA,3/22/2023,AZ,AXLE,SCD0970110406490117,Wednesday,Tuesday,45562356,CA,90815,1,SHIPMENT.PICKUP_READY,3/22/2023 4:10:24 下午,3/22/2023 9:10:24 上午,3/22/2023,FINAL MILE,Undelivered,0,1,no_progress_in_tracking,,是
2023-W12,US,US267808493,H2678084930,NJ_AXLE-JFKNY,3/22/2023,NJ,AXLE,SCD0970110406490338,Wednesday,Tuesday,22130856,NY,10010,1,SHIPMENT.RECEIVED_OK,3/22/2023 3:30:28 上午,3/21/2023 11:30:28 下午,3/21/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US267814531,H2678145310,NJ_AXLE-PHLPA,3/22/2023,NJ,AXLE,SCD0970110406491378,Wednesday,Tuesday,47465067,NJ,8098,1,SHIPMENT.RETURN_READY,3/22/2023 6:41:02 下午,3/22/2023 2:41:02 下午,3/22/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267825027,H2678250270,NJ_AXLE-EWRNJ,3/22/2023,NJ,AXLE,SCD0970110406491342,Wednesday,Tuesday,26857944,NJ,8825,1,SHIPMENT.PICKUP_READY,3/26/2023 1:28:05 下午,3/26/2023 9:28:05 上午,3/26/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US267831067,H2678310670,NJ_AXLE-JFKNY,3/22/2023,NJ,AXLE,SCD0970110406491445,Wednesday,Tuesday,45860248,NY,11203,1,SHIPMENT.PICKUP_READY,3/22/2023 12:45:01 下午,3/22/2023 8:45:01 上午,3/22/2023,FINAL MILE,Undelivered,0,1,"exception,exception","failure,failure",是
2023-W12,US,US267832725,H2678327250,AZ_AXLE-SALCA,3/22/2023,AZ,AXLE,SCD0008698900497502,Wednesday,Monday,38525692,CA,95033,2,SHIPMENT.RETURN_READY,3/22/2023 7:57:32 下午,3/22/2023 12:57:32 下午,3/22/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US267833790,H2678337900,NW_AXLE-SALCA,3/22/2023,NW,AXLE,SCD0970110406491977,Wednesday,Tuesday,29659717,CA,95037,1,SHIPMENT.DROPOFF_SUCCEEDED,3/23/2023 10:37:40 上午,3/23/2023 3:37:40 上午,3/23/2023,FINAL MILE,Late +1,1,1,"late_delivery_after_delivery_window,driver_delivered_to_wrong_address",box_received,是
2023-W12,US,US267840837,H2678408370,AZ_AXLE-LAXCA,3/22/2023,AZ,AXLE,SCD0970110406489225,Wednesday,Tuesday,48573563,CA,91709,1,SHIPMENT.RETURN_READY,3/23/2023 3:18:32 下午,3/23/2023 8:18:32 上午,3/23/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US267844902,H2678449020,AZ_AXLE-LAXCA,3/22/2023,AZ,AXLE,SCD0970110406491660,Wednesday,Tuesday,12623681,CA,93108,1,SHIPMENT.DROPOFF_FAILED,3/23/2023 1:21:44 上午,3/22/2023 6:21:44 下午,3/22/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US267850232,H2678502320,AZ_AXLE-LAXCA,3/22/2023,AZ,AXLE,SCD0970110406489620,Wednesday,Tuesday,45447032,CA,90025,1,SHIPMENT.DROPOFF_FAILED,3/22/2023 3:35:28 下午,3/22/2023 8:35:28 上午,3/22/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US267854910,H2678549100,NJ_AXLE-EWRNJ,3/22/2023,NJ,AXLE,SCD0970110406489495,Wednesday,Tuesday,48929903,NY,10308,1,SHIPMENT.PICKUP_READY,3/26/2023 9:51:26 上午,3/26/2023 5:51:26 上午,3/26/2023,FINAL MILE,Undelivered,0,1,"no_progress_in_tracking,no_progress_in_tracking",,是
